Lon,Lat,Size,Intensity
-87.45,28.96,72.2,22.0
-88.63,28.87,76.2,23.4
-87.67,27.75,83.8,22.8
-86.12,26.68,46.6,15.7
-87.61,28.26,49.4,24.3
-90.07,29.37,55.9,21.8
-89.41,31.27,39.3,27.1
-85.62,29.18,98.8,33.6
-88.16,28.12,65.0,22.9
-85.93,26.72,69.9,19.1
-88.21,26.48,95.2,32.3
-87.22,27.07,82.5,22.8
-85.7,28.0,66.9,19.6
-89.91,28.66,49.4,17.3
-87.16,30.4,75.8,22.4
-87.82,29.53,73.2,20.3
-87.23,29.58,84.8,34.6
-89.52,29.63,61.9,35.7
-86.57,28.07,82.6,33.8
-88.38,28.62,59.8,35.2
-89.4,28.14,95.4,33.2
-86.51,28.7,88.3,33.9
-88.42,29.88,107.0,33.6
-85.66,28.3,68.2,18.8
-85.95,27.1,82.0,33.3
-88.48,29.63,48.2,21.2
-88.54,28.27,75.2,23.5
-87.62,28.72,74.1,22.6
-88.48,29.87,62.5,35.8
-88.12,27.33,91.9,32.9
-86.86,29.17,69.4,18.5
-87.5,28.9,78.3,22.4
-86.46,28.76,81.8,34.2
-88.92,28.24,92.7,33.4
-86.96,28.26,62.6,34.9
-89.91,29.08,64.7,22.5
-89.91,29.97,37.7,37.1
-89.69,29.89,61.5,26.1
-87.89,26.89,73.2,33.6
-87.61,30.5,65.0,23.5
-88.07,29.87,61.5,24.0
-89.3,28.64,49.9,35.7
-88.62,27.61,78.5,19.0
-89.88,28.08,75.6,21.8
-90.04,28.66,73.8,20.9
-88.75,28.79,81.6,34.3
-89.31,28.59,65.9,19.5
-87.43,28.19,92.4,33.4
-86.96,28.31,74.0,21.9
-86.95,29.6,80.1,21.6
-84.22,24.88,76.5,17.6
-86.63,30.34,57.7,20.7
-86.35,26.48,76.1,20.2
-88.18,29.23,84.4,24.9
-88.33,29.22,81.6,20.3
-88.42,26.79,84.2,33.0
-86.76,29.72,49.1,27.2
-85.57,28.02,99.3,32.9
-88.01,29.0,64.0,24.2
-87.74,29.41,91.1,34.1
-87.45,28.56,65.1,21.8
-87.43,29.36,44.2,18.0
-87.53,28.7,48.8,11.0
-86.34,28.95,72.0,21.2
-87.89,28.81,83.2,34.2
-86.52,28.83,63.7,35.2
-86.98,27.92,82.7,33.7
-88.16,26.77,57.2,19.1
-88.46,28.76,45.8,14.7
-86.63,28.21,52.1,18.4
-90.5,28.98,69.6,20.3
-87.94,26.95,57.1,19.4
-88.18,29.22,75.6,23.4
-87.72,29.47,75.3,21.9
-87.3,27.0,73.1,19.1
-86.65,28.08,84.0,33.7
-87.12,26.63,65.7,21.7
-86.43,28.65,54.7,24.8
-90.15,28.31,73.8,21.8
-86.67,27.97,82.0,33.8
-89.16,30.11,61.8,24.0
-87.57,28.53,64.9,22.7
-87.04,30.04,78.0,21.6
-89.32,28.52,89.5,33.7
-86.91,28.42,65.3,22.2
-87.97,28.3,76.3,25.2
-87.47,28.7,78.2,24.5
-86.07,30.09,72.3,20.0
-89.8,26.2,68.0,19.2
-89.01,28.86,71.0,19.8
-87.74,28.14,71.6,24.4
-91.32,30.62,35.4,37.6
-89.06,29.88,62.2,22.8
-86.63,27.92,63.3,34.7
-89.26,28.5,75.9,34.4
-87.0,28.32,45.9,35.7
-87.7,28.54,88.8,33.8
-86.01,29.33,104.0,33.5
-88.32,28.9,70.2,19.9
-86.23,28.61,46.6,35.9
-84.84,28.78,65.2,19.4
-87.42,29.22,76.6,21.1
-87.3,27.87,60.7,34.8
-88.78,27.8,66.0,21.8
-86.78,27.33,82.5,24.1
-87.06,29.45,78.8,25.6
-87.35,26.72,88.9,32.7
-89.6,29.53,56.8,21.1
-88.14,29.64,72.9,23.3
-87.48,27.11,43.1,35.2
-89.42,30.97,39.5,37.6
-86.36,29.58,57.3,22.1
-88.13,26.99,95.3,32.6
-86.7,28.37,75.3,21.1
-88.55,28.08,72.0,20.1
-89.79,28.78,100.0,33.3
-87.61,29.21,41.1,10.9
-88.35,30.38,71.7,20.2
-88.23,27.68,68.1,20.6
-86.15,28.37,72.9,18.7
-86.82,29.75,89.9,34.4
-88.78,29.18,79.5,34.6
-90.89,28.69,54.7,18.8
-87.67,27.81,70.3,18.0
-88.43,28.85,73.2,22.5
-87.45,28.43,68.4,17.6
-86.5,28.07,75.5,19.8
-87.61,30.24,68.9,18.6
-89.11,28.75,73.0,19.1
-89.06,28.95,65.5,22.7
-88.7,26.45,45.6,15.7
-87.52,28.6,39.0,36.2
-86.81,29.39,60.2,20.1
-89.16,28.15,66.0,22.6
-87.06,26.55,68.6,18.9
-87.16,27.79,43.4,21.6
-87.05,28.05,82.4,33.8
-88.29,30.07,86.6,34.8
-87.4,29.57,85.6,24.0
-87.76,27.98,45.5,35.6
-87.05,28.69,62.5,35.1
-88.02,28.11,76.9,34.1
-86.45,28.45,69.0,18.4
-88.28,28.78,94.6,24.6
-88.06,30.48,91.6,34.7
-86.67,29.42,72.3,21.3
-89.36,27.25,71.8,20.9
-87.39,27.06,77.4,20.8
-85.24,26.86,56.4,21.0
-89.22,28.53,52.0,18.1
-87.7,29.9,34.1,24.4
-87.1,28.89,59.9,21.7
-85.99,29.43,72.8,21.5
-89.55,28.36,52.3,35.5
-85.78,27.72,69.7,21.6
-88.61,28.28,88.4,33.6
-86.58,28.82,80.4,23.5
-89.16,27.92,99.2,32.9
-88.75,28.42,62.4,35.0
-87.44,28.86,66.6,19.2
-85.2,28.92,64.7,19.5
-88.51,28.94,103.6,33.3
-90.4,29.92,44.1,20.4
-87.94,28.58,100.1,33.2
-86.69,26.9,64.0,21.3
-89.76,31.09,42.4,10.9
-88.36,27.35,63.0,25.0
-87.34,28.89,106.9,33.1
-86.82,27.88,61.5,34.7
-90.72,29.86,47.3,23.4
-84.1,26.22,62.5,33.7
-86.34,30.03,85.4,21.3
-84.92,31.92,36.4,38.3
-87.89,29.49,65.8,22.5
-87.2,27.72,71.2,19.8
-87.03,28.64,73.6,21.2
-88.1,29.67,52.9,14.6
-88.01,29.05,86.5,34.2
-87.26,29.23,46.4,36.2
-87.18,27.92,59.7,26.1
-88.28,28.09,57.7,24.0
-88.21,29.29,47.0,20.3
-87.62,29.41,74.9,21.7
-88.35,30.83,50.3,37.0
-87.3,29.17,65.1,22.1
-89.39,28.87,63.2,35.2
-87.89,29.18,85.3,22.1
-87.31,29.82,65.9,22.9
-88.8,30.81,72.4,22.1
-88.3,27.06,92.6,32.7
-86.69,29.45,61.8,22.5
-89.07,26.32,69.4,18.6
-88.71,30.45,61.4,36.2
-88.65,30.32,76.7,22.0
-89.78,29.74,57.6,20.8
-85.92,29.3,59.2,24.8
-86.86,28.19,74.0,21.5
-88.04,29.27,77.1,23.4
-87.03,29.48,57.3,35.9
-89.18,29.49,79.4,34.8
-86.32,28.53,60.9,21.9
-87.21,28.29,78.9,23.1
-87.53,28.91,77.6,25.8
-89.21,28.35,89.2,33.6
-87.72,27.7,78.4,24.0
-88.37,28.98,71.2,21.2
-87.34,29.35,58.9,17.1
-88.17,27.79,66.5,20.5
-88.17,26.2,68.5,17.3
-87.76,28.6,104.4,33.0
-87.64,29.28,25.5,37.3
-87.53,27.35,95.5,32.8
-86.4,30.06,76.4,24.6
-87.43,28.99,42.0,16.7
-87.04,28.83,83.3,24.2
-88.13,29.69,98.4,33.9
-89.02,26.39,83.0,23.4
-84.59,30.42,35.8,37.5
-85.85,26.86,50.5,16.3
-87.47,29.47,83.8,25.3
-86.59,27.99,55.5,17.3
-85.23,27.71,82.5,33.6
-88.07,28.28,68.2,18.3
-89.5,28.6,76.9,21.3
-88.93,27.81,67.7,18.7
-87.51,29.39,85.5,34.4
-87.29,28.39,62.7,25.4
-87.78,26.82,65.0,20.3
-86.56,26.28,56.1,17.7
-88.51,27.24,43.8,17.3
-86.55,29.85,53.5,17.6
-86.3,27.17,66.6,18.5
-87.56,31.1,49.0,26.5
-88.91,27.65,103.6,23.5
-87.5,30.04,84.1,25.0
-89.42,30.15,66.8,20.4
-87.86,29.01,41.6,10.5
-86.87,29.17,69.8,19.5
-84.74,28.47,80.4,23.7
-88.14,28.67,78.6,22.0
-85.92,27.41,93.3,32.9
-88.97,28.84,59.3,23.3
-88.68,29.04,56.3,21.8
-87.13,25.8,66.5,19.4
-87.82,27.42,33.7,35.8
-86.7,28.43,79.1,23.3
-88.56,27.49,88.9,23.9
-85.94,27.91,58.5,22.7
-86.38,27.47,59.1,21.8
-89.32,29.93,87.9,34.6
-87.55,29.55,57.8,23.5
-86.93,27.97,61.2,34.8
-89.24,28.78,35.8,36.5
-88.47,26.81,73.1,18.8
-87.83,29.16,60.2,35.5
-88.6,28.22,82.4,19.8
-86.88,29.55,62.2,25.8
-87.48,28.28,72.8,19.4
-88.56,28.53,74.7,21.6
-89.65,29.37,42.0,36.5
-88.1,28.15,54.9,19.4
-89.13,29.33,53.9,17.7
-86.48,29.1,87.3,34.2
-88.64,28.47,58.3,20.9
-88.01,27.71,91.7,33.1
-88.98,28.13,105.1,32.7
-88.04,29.64,76.9,23.9
-88.11,29.38,65.2,22.3
-87.31,26.6,101.3,24.0
-89.01,28.37,70.4,18.2
-88.01,29.9,71.5,22.0
-89.06,28.14,93.8,33.3
-86.75,27.06,76.1,22.4
-88.82,28.83,85.9,34.1
-89.72,27.13,50.2,17.4
-88.95,31.2,43.1,19.8
-88.75,28.88,111.2,32.9
-88.49,29.78,78.8,23.4
-85.7,29.85,62.9,35.8
-87.33,27.06,100.8,23.6
-86.94,28.48,91.7,33.6
-87.95,27.26,59.7,22.3
-89.02,29.94,72.9,21.4
-87.37,27.63,75.5,21.6
-86.76,28.18,68.1,24.3
-87.92,27.61,62.5,34.5
-85.93,29.14,19.7,37.5
-87.83,27.94,100.2,24.4
-89.22,31.1,46.2,17.0
-87.99,28.86,76.9,21.3
-88.79,29.45,29.4,37.2
-87.47,29.22,77.9,20.3
-86.59,27.24,74.6,20.3
-89.13,27.56,111.8,32.1
-88.38,27.59,89.7,33.2
-87.18,27.07,71.2,17.9
-84.92,30.19,5.0,38.8
-86.78,30.28,67.5,20.0
-88.88,27.98,71.1,18.6
-90.51,29.91,41.4,36.9
-87.68,29.04,58.7,20.8
-87.83,28.15,79.5,23.3
-89.28,27.32,74.6,22.0
-87.36,29.54,63.9,35.6
-89.25,32.46,22.6,39.3
-88.34,27.61,85.7,24.9
-85.44,29.44,76.8,19.5
-88.56,28.77,50.1,35.8
-87.24,28.42,56.2,19.6
-87.51,28.22,117.9,32.1
-87.48,27.99,56.7,21.1
-87.36,28.94,62.3,23.5
-89.35,30.13,105.0,33.9
-87.67,28.36,83.8,33.9
-89.18,29.89,68.1,20.7
-87.48,28.99,69.9,19.0
-87.91,29.56,46.5,21.5
-89.11,27.78,66.7,20.2
-88.96,27.72,57.0,18.0
-86.84,28.91,76.0,24.7
-85.22,29.89,49.2,21.6
-87.79,26.98,49.0,23.3
-88.32,27.83,76.7,21.9
-89.6,29.7,68.5,19.1
-87.07,28.23,64.1,21.7
-86.48,27.69,85.5,33.4
-87.95,28.84,92.0,33.8
-87.89,28.19,52.7,35.3
-86.53,28.06,69.5,17.5
-87.09,28.89,65.0,20.9
-89.18,30.75,43.3,11.8
-87.95,26.8,54.7,11.6
-88.26,29.75,84.3,34.7
-88.07,29.15,67.0,19.5
-88.48,28.7,70.8,21.4
-88.21,29.26,74.5,21.5
-87.3,29.04,85.1,34.2
-84.86,27.75,55.6,18.3
-89.03,29.32,47.4,23.2
-88.69,27.69,82.9,24.9
-86.51,27.33,70.0,21.6
-87.69,27.46,91.7,33.0
-86.03,27.25,85.1,21.4
-89.27,28.69,76.8,34.4
-88.38,27.67,56.3,19.3
-88.11,27.84,67.5,34.4
-86.57,25.76,75.6,23.6
-86.64,25.93,57.7,17.6
-88.85,29.01,101.7,33.4
-89.25,31.13,23.7,38.5
-89.64,27.55,56.2,16.4
-86.88,28.54,42.5,16.3
-89.04,28.24,69.2,21.1
-87.62,28.19,93.2,33.3
-87.44,27.4,81.0,20.7
-89.95,29.78,43.6,13.2
-89.58,29.34,66.2,23.7
-89.32,29.1,67.3,24.2
-88.78,29.98,85.1,34.8
-89.7,27.94,66.2,19.4
-84.28,27.73,63.4,34.5
-86.27,26.49,45.6,21.2
-88.66,29.34,85.6,34.4
-86.84,26.82,30.6,35.6
-89.37,29.03,107.4,33.1
-88.34,29.33,56.2,24.6
-86.43,30.37,87.6,34.9
-85.89,26.88,75.8,19.9
-88.62,27.08,88.4,21.0
-88.16,26.7,74.7,21.2
-88.28,30.04,66.3,24.0
-87.03,29.63,87.4,24.0
