Lon,Lat,Size,Intensity
-88.93,28.59,78.5,19.3
-87.1,26.06,88.8,22.7
-89.2,27.43,79.3,20.5
-89.29,29.84,61.8,20.8
-86.18,27.0,47.0,24.9
-88.91,29.26,40.8,36.5
-86.53,29.22,56.2,18.9
-86.22,25.92,44.7,23.3
-88.23,27.9,81.3,25.2
-88.26,28.59,72.1,19.6
-88.54,27.87,64.5,19.2
-87.63,30.07,63.3,22.9
-90.32,26.7,53.2,17.6
-88.18,26.15,69.4,18.6
-87.34,29.04,84.0,24.8
-86.05,28.87,72.0,22.4
-88.93,28.72,72.2,18.7
-89.02,28.8,69.0,19.0
-87.31,27.79,64.6,22.1
-87.47,28.44,75.2,20.3
-87.23,28.56,75.4,21.1
-87.11,27.9,43.5,20.0
-86.3,29.94,71.3,19.4
-85.79,27.99,93.7,33.2
-88.22,28.15,90.7,33.4
-87.98,28.08,72.5,20.0
-88.76,28.95,79.9,34.4
-87.06,31.29,37.3,27.3
-87.0,28.64,78.6,20.6
-88.93,30.27,61.3,36.1
-89.46,28.24,72.0,21.8
-88.94,27.15,75.4,21.3
-86.58,29.94,68.4,20.7
-88.38,29.37,45.1,21.8
-87.53,27.4,93.2,32.9
-86.66,28.1,61.4,34.9
-87.65,30.02,92.7,34.4
-88.26,29.26,85.5,34.3
-88.26,29.4,60.2,25.0
-89.82,29.24,85.2,20.7
-88.68,29.88,77.0,24.1
-89.72,30.14,50.6,23.0
-88.36,27.13,65.8,22.1
-89.2,29.08,96.1,33.7
-87.06,29.81,100.6,33.9
-89.25,28.81,57.3,21.4
-89.35,30.39,82.1,35.2
-86.13,27.04,54.5,18.3
-88.32,28.45,39.7,10.9
-88.93,29.53,66.6,18.8
-88.84,28.1,55.1,17.8
-89.97,27.84,80.4,24.0
-88.21,29.28,84.4,34.4
-87.85,27.72,60.5,26.0
-86.28,28.58,58.4,22.0
-85.43,26.19,81.9,19.1
-88.18,28.9,88.3,21.0
-87.83,29.07,33.7,36.8
-88.04,28.77,75.9,21.8
-86.54,28.08,69.9,19.5
-88.95,27.62,61.0,20.1
-88.51,29.25,54.0,19.3
-86.24,28.5,80.9,24.4
-87.58,31.15,50.0,37.2
-86.12,25.17,64.4,20.9
-86.63,26.02,83.1,32.6
-86.4,27.67,67.0,20.1
-88.07,29.39,62.9,21.4
-90.1,31.58,37.7,38.0
-87.34,27.46,85.6,33.3
-86.56,28.25,52.7,18.2
-87.6,27.83,72.8,18.4
-87.19,28.86,36.4,36.5
-88.18,29.73,61.7,26.3
-87.68,29.45,85.7,34.4
-86.69,28.42,75.7,19.3
-86.46,28.25,61.9,21.8
-89.57,27.5,68.2,19.3
-85.05,27.4,45.8,17.2
-89.9,27.89,70.0,20.4
-88.89,29.33,87.5,34.3
-86.6,28.86,40.5,11.6
-88.03,29.35,76.1,19.2
-88.26,27.44,56.2,17.4
-87.56,27.79,55.2,17.6
-87.65,29.24,53.3,18.5
-86.13,28.34,49.9,35.6
-85.06,27.82,72.3,20.8
-89.28,30.43,104.5,34.1
-89.28,29.29,63.8,35.4
-86.24,30.17,79.4,24.8
-88.06,29.43,76.4,20.5
-86.15,30.22,40.6,9.8
-87.8,28.06,103.0,32.8
-86.69,29.55,62.7,35.6
-87.74,28.01,71.6,18.0
-86.52,29.39,62.9,35.5
-88.97,29.02,68.1,18.8
-88.61,27.9,70.2,17.5
-89.46,29.04,79.8,23.3
-88.62,27.58,49.0,19.8
-88.8,29.59,66.3,20.5
-88.06,28.4,62.6,24.3
-87.94,28.95,110.1,32.9
-88.56,28.91,72.8,22.4
-88.81,28.29,63.9,34.8
-88.15,30.46,64.2,22.5
-87.08,29.85,73.4,21.3
-87.22,28.86,58.9,20.4
-88.5,27.81,83.5,33.6
-88.05,28.58,75.7,22.7
-89.55,28.73,50.2,16.6
-87.68,28.29,97.5,33.2
-88.56,26.48,64.1,21.3
-86.5,26.54,62.4,24.0
-88.6,29.03,77.9,22.8
-87.06,29.5,90.4,34.2
-88.9,26.91,83.3,21.6
-86.14,28.56,79.9,34.2
-86.18,28.12,69.1,19.6
-87.89,28.08,66.4,20.1
-86.08,27.47,64.9,21.7
-89.38,28.8,48.4,35.9
-86.85,28.32,59.0,23.2
-87.19,28.72,78.4,34.4
-88.21,27.39,90.2,33.0
-88.38,28.81,75.8,23.2
-88.98,28.6,70.3,18.8
-85.39,28.94,61.7,35.3
-88.63,29.12,116.8,32.7
-87.41,28.71,76.8,21.7
-88.44,28.27,65.9,22.7
-86.86,29.9,67.4,19.3
-87.87,28.26,85.5,33.8
-90.13,30.11,64.3,23.1
-87.9,25.81,112.9,31.0
-87.47,29.6,61.9,35.7
-89.57,28.89,109.5,32.9
-88.01,28.41,102.2,33.0
-88.82,29.35,54.1,21.4
-86.98,27.34,65.8,18.8
-87.47,28.67,40.8,36.2
-85.65,26.09,32.0,35.2
-88.37,31.82,54.3,18.4
-87.75,28.78,94.6,24.5
-85.57,30.12,53.6,19.9
-87.19,27.04,58.9,24.5
-87.98,28.12,82.1,21.7
-87.75,26.54,82.1,32.9
-88.21,28.37,85.1,33.8
-88.75,29.11,77.9,25.5
-85.68,25.93,44.3,34.5
-88.08,28.47,74.5,22.0
-87.09,27.29,81.5,33.4
-86.99,27.52,63.5,23.7
-89.41,30.02,56.4,19.8
-87.49,30.02,78.2,35.1
-86.92,27.65,72.0,19.0
-87.34,29.59,81.6,21.5
-88.52,30.51,44.9,17.7
-87.55,28.58,56.1,21.6
-88.54,28.63,81.8,34.2
-87.89,28.21,74.7,19.0
-89.18,30.46,57.9,22.5
-88.38,29.15,42.1,36.4
-88.67,27.16,65.7,21.9
-86.9,30.01,80.5,25.9
-87.99,27.03,63.1,25.6
-89.78,28.91,50.7,23.4
-88.26,28.41,84.3,25.4
-87.53,29.07,56.1,16.7
-87.13,28.39,91.7,22.5
-87.36,30.73,53.1,18.5
-84.46,28.92,117.4,32.6
-85.02,27.87,81.2,23.7
-87.5,29.03,65.7,18.1
-87.61,28.18,62.7,25.4
-86.94,27.85,32.4,36.1
-87.19,27.48,48.4,21.9
-87.76,28.43,55.0,17.9
-87.84,29.51,82.0,34.7
-89.9,30.38,71.1,21.4
